165.05,1.63,-0.06,5.94,-0.50,-0.08
165.57,1.63,-0.06,5.94,-0.51,-0.08
171.27,359.31,-1.88,7.19,-0.41,-0.10
164.94,1.63,-0.06,6.00,-0.49,-0.09
171.58,359.56,-1.50,7.00,-0.34,-0.15
170.75,359.25,-1.88,6.94,-0.38,-0.12
175.30,4.50,-0.56,4.19,-0.35,-0.04
150.74,1.94,164.32,1.63,-0.06,6.06
173.85,5.75,0.94,4.44,-0.73,-0.04
173.75,5.94,1.25,4.44,-0.86,0.01
169.50,359.31,-1.88,7.19,-0.33,-0.15
174.16,5.56,0.56,3.94,-0.57,0.03
172.20,5.75,0.31,3.94,-3.42,0.11
168.47,359.13,-1.75,7.25,-0.39,-0.10
171.47,359.31,-1.81,7.38,-0.35,-0.14
173.54,6.50,1.38,3.69,-1.02,0.02
174.68,4.81,0.00,4.75,-0.35,-0.07
165.67,1.63,-0.06,6.00,-0.51,-0.07
169.19,359.19,-1.94,7.19,-0.37,-0.05
172.10,4.69,0.13,4.56,-3.34,0.10
171.89,4.25,0.06,4.25,-2.64,0.10
170.02,359.25,-1.88,7.06,-0.39,-0.10
167.74,359.19,-1.56,6.50,-0.36,-0.14
168.78,359.13,-1.88,7.00,-0.38,-0.09
170.13,359.25,-1.88,6.94,-0.39,-0.10
165.46,1.63,-0.06,5.94,-0.51,-0.07
172.61,6.44,0.38,4.44,-4.20,0.13
167.12,0.75,-0.06,6.94,-3.73,-0.12
174.48,4.94,0.19,4.50,-0.35,-0.06
168.57,359.13,-1.81,7.25,-0.39,-0.10
173.44,6.44,1.38,3.81,-1.29,0.04
172.82,6.81,0.88,3.88,-3.79,0.01
168.88,359.06,-1.94,7.00,-0.39,-0.07
165.98,1.63,-0.06,6.06,-0.50,-0.08
172.51,6.56,0.13,4.13,-4.05,0.15
174.99,4.63,-0.06,4.69,-0.36,-0.04
172.92,6.75,0.75,3.81,-2.99,0.04
164.63,1.63,-0.06,6.06,-0.50,-0.08
174.79,4.63,-0.06,4.88,-0.38,-0.07
172.40,6.75,0.25,3.63,-3.85,0.14
175.51,4.56,-0.44,4.63,-0.39,0.02
168.26,359.13,-1.56,7.19,-0.37,-0.14
172.30,6.69,0.38,3.50,-3.53,0.15
169.82,359.25,-1.88,7.06,-0.35,-0.12
166.50,0.81,0.00,7.44,-0.70,-0.12
171.99,4.31,0.13,4.75,-3.11,0.13
175.10,4.56,-0.13,4.75,-0.35,-0.04
166.08,1.63,-0.06,6.06,-0.48,-0.10
165.88,1.63,-0.06,6.06,-0.49,-0.09
165.77,1.63,-0.06,5.94,-0.50,-0.08
167.64,358.88,-1.25,7.19,-0.42,-0.15
167.23,0.69,0.00,6.75,-3.76,-0.13
170.85,359.25,-1.88,6.94,-0.40,-0.11
174.06,5.81,0.75,3.94,-0.58,-0.00
150.11,1.94,0.06,5.75,-0.47,-0.12
172.72,6.44,0.81,4.25,-4.15,0.03
164.42,1.63,-0.06,6.00,-0.49,-0.09
169.61,359.31,-1.88,7.19,-0.35,-0.13
169.92,359.25,-1.88,7.06,-0.36,-0.12
168.37,359.13,-1.63,7.19,-0.39,-0.10
165.15,1.63,-0.06,5.94,-0.50,-0.08
167.85,359.31,-1.44,6.63,-0.36,-0.10
174.37,5.13,0.19,4.44,-0.45,-0.01
170.44,359.25,-1.88,7.13,-0.40,-0.10
174.27,5.38,0.31,4.13,-0.52,0.01
169.29,359.25,-1.88,7.25,-0.36,-0.11
167.02,0.81,-0.06,6.94,-3.36,-0.11
166.60,0.88,-0.06,7.63,-1.90,-0.16
173.13,7.06,1.25,3.50,-2.88,0.11
168.68,359.13,-1.88,7.13,-0.38,-0.10
173.96,5.88,0.75,3.94,-0.58,-0.04
173.24,7.00,1.63,3.56,-2.57,0.09
171.68,1.94,-0.13,5.38,-0.49,-0.12
166.71,1.13,-0.06,7.06,-2.35,-0.19
173.65,6.19,1.50,4.13,-0.94,0.01
166.29,1.63,-0.06,6.06,-0.47,-0.10
169.71,359.31,-1.88,7.19,-0.37,-0.11
174.58,4.94,0.13,4.50,-0.34,-0.07
167.53,359.25,-0.31,7.56,-1.35,-0.13
170.33,359.25,-1.88,7.00,-0.41,-0.08
166.19,1.63,-0.06,6.06,-0.47,-0.10
166.81,0.94,-0.13,6.88,-2.71,-0.16
167.95,359.19,-1.38,7.31,-0.38,-0.07
175.41,4.69,-0.38,4.13,-0.34,-0.02
169.09,359.31,-1.88,6.69,-0.35,-0.08
165.36,1.63,-0.06,6.00,-0.51,-0.07
166.91,0.88,-0.13,6.88,-3.05,-0.10
173.34,7.00,1.69,3.69,-2.10,0.06
167.43,359.88,0.81,7.31,-2.66,-0.12
171.06,359.25,-1.88,6.94,-0.42,-0.09
166.40,1.38,0.00,6.38,-0.49,-0.10
168.05,359.13,-1.38,7.50,-0.38,-0.14
168.99,359.19,-1.94,6.69,-0.37,-0.07
173.03,7.06,0.88,3.50,-2.94,0.09
164.84,1.63,-0.06,6.00,-0.49,-0.10
167.33,0.63,0.75,6.88,-3.56,-0.12
174.89,4.63,-0.13,4.69,-0.38,-0.07
164.53,1.63,-0.06,6.06,-0.50,-0.09
175.20,4.44,-0.31,4.69,-0.34,-0.04
175.61,4.50,-0.56,4.44,-0.39,-0.02
170.96,359.25,-1.88,6.94,-0.41,-0.09
170.23,359.25,-1.88,6.94,-0.39,-0.11
171.16,359.31,-1.88,7.06,-0.43,-0.09
171.37,359.31,-1.81,7.19,-0.35,-0.13
170.54,359.25,-1.88,7.13,-0.39,-0.11
165.26,1.63,-0.06,5.94,-0.50,-0.07
170.64,359.25,-1.88,7.00,-0.38,-0.13
164.74,1.63,-0.06,6.00,-0.49,-0.10
168.16,359.13,-1.38,7.19,-0.37,-0.17
171.79,3.69,-0.06,4.31,-1.07,0.00
169.40,359.31,-1.81,7.25,-0.33,-0.15
